feature,Spearman|r|,MI,ENet|β|,RF_perm,Partial_r,Borda_pts,Borda_排名
TC（总胆固醇）,0.03521366200089205,0.0,0.0,0.12459526081147416,0.04337266417814019,73,1
ADL吃饭,0.07878031979698581,0.0,0.4778573967833278,0.1358361529058328,0.07261820217630374,72,2
BMI,0.02202513215730273,0.059505837502988435,0.0,0.21698554012547255,0.00564830251979682,60,3
TG（甘油三酯）,0.0157614110431769,0.0,0.0,0.11176963916801164,0.02099268709507844,56,4
ADL洗澡,0.026873572108708086,0.012819231490567518,0.0,0.052232490286259516,0.023223223521434123,55,5
ADL用厕,0.03537398697704509,0.0,0.0,0.06823603089054518,0.02223281279568337,53,6
空腹血糖,0.02045921551122343,0.0,0.0,0.1294840614872766,0.012997770471512887,52,7
IADL理财,0.024910269933367923,0.0258493714465744,0.0,0.06690591500873642,0.021620140920194836,52,8
LDL-C（低密度脂蛋白）,0.009876766064914007,0.0,0.0,0.10534387335982898,0.021127512426984494,50,9
HDL-C（高密度脂蛋白）,0.01389841673447479,0.0,0.0,0.11220754227643784,0.014538121757140345,50,10
血尿酸,0.009622006575595235,0.0,0.0,0.10667161974799737,0.004075260401651778,36,11
IADL交通,0.023453756454769988,0.0,0.0,0.05102689537974773,0.028003551464664413,36,12
IADL做饭,0.0050757937220191,0.009361414583844319,0.0,0.055076229246132515,0.0036093143953268418,29,13
IADL购物,0.01615482029549531,0.0,0.0,0.0432569558459863,0.017945329193413215,27,14
ADL穿衣,0.0031144258894378767,0.012282383882783243,0.0,0.046062406733680596,0.0030439809793908683,26,15
ADL步行,0.0014172337634671898,0.0,0.0,0.050292849509962434,0.005073110409596161,21,16
IADL服药,0.011501960881670253,0.0,0.0,0.04829603678402587,0.006042054270303546,17,17
