,logit_beta,point_biserial_r,MI_with_risk,F_stat,p_value,|beta|,RF_importance,综合得分_发病风险
TG（甘油三酯）,2.0150028814603274,0.46672754172572767,0.1805971160526696,277.94495705143,3.0736828592305075e-55,2.0150028814603274,0.3380891705987555,9.522765878876324
TC（总胆固醇）,1.3206432425826422,0.4388401106774815,0.16186613860323318,238.03675218541693,2.5155727851846914e-48,1.3206432425826422,0.30051374073765463,7.303896113607656
血尿酸,0.3942834597902496,0.1615100613971014,0.17663422519484584,26.730610264890498,2.825109923489035e-07,0.3942834597902496,0.1904563539699673,2.6959866866382813
LDL-C（低密度脂蛋白）,0.4798997094662444,0.18899408520336855,0.04165458294567892,36.967769766198955,1.70784516807784e-09,0.4798997094662444,0.08414295083525493,0.06070087435750686
HDL-C（高密度脂蛋白）,-0.4489519195381736,-0.1765835844464047,0.053073047561176256,32.12098777692563,1.8951622871456793e-08,0.4489519195381736,0.052620925215043815,-0.14514887189153225
年龄组,-0.1123216861597215,-0.045870688932838286,0.021292502564000948,2.1043396463201187,0.1471959566514364,0.1123216861597215,0.0037991449903937505,-1.9320868390746802
吸烟史,-0.12274559132663264,-0.04996196048711853,0.01697175002320095,2.4974392022073753,0.11434844378411564,0.12274559132663264,0.0007955441020135418,-1.999184345013212
ADL总分,0.06631023261430466,0.02705829708677309,0.022033979091690137,0.7312225039647279,0.3926924473619021,0.06631023261430466,0.004361901674156198,-2.010067196818046
饮酒史,-0.12589803267433639,-0.051031911669220165,0.01280373278162017,2.605833754811406,0.10678725060764141,0.12589803267433639,0.0013701059746463668,-2.049123834024105
性别,-0.0047816320370822315,-0.001950746540577742,0.01675012150375954,0.003797815693474316,0.9508726755740591,0.0047816320370822315,0.001380931431163255,-2.2264839417997324
空腹血糖,-0.10513949370698597,-0.04272871899779404,0.0,1.8254246974827797,0.17697512431540358,0.10513949370698597,0.007078635073067767,-2.2331947440843716
活动量表总分（ADL总分+IADL总分）,0.04880749156480408,0.019914762918485502,0.004888130209650621,0.39596162403676705,0.5293262563240336,0.04880749156480408,0.004735467631658631,-2.293088746674859
BMI,0.06311077566233446,0.02578722153132893,0.0,0.664092441420234,0.4153132852572309,0.06311077566233446,0.006024802591214229,-2.326733997645054
IADL总分,0.004848714425308366,0.001978185447425687,0.005243243883865434,0.003905406511765902,0.9501825491042107,0.004848714425308366,0.004630325175010004,-2.368237036454176
