id,S0,K,unconstrained_S6,unconstrained_C,unconstrained_rms,baseline_S6,baseline_C,baseline_rms,delta_S6,delta_C,unconstrained_fseq,baseline_fseq
1,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
2,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
3,59.0,"[1, 2, 3]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
4,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
5,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
9,57.0,[1],38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
11,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
12,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
15,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
29,62.0,[1],37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
30,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
