样本ID,月份,月内周次,全局周次,周训练次数,x1次数,x2次数,x3次数,周均单次强度,周下降率(%),周活动成本(元),周活动时长(min)
1,1,1,1,10,10,0,0,1.0,2.0,30,100
1,1,2,2,10,10,0,0,1.0,2.0,30,100
1,1,3,3,10,10,0,0,1.0,2.0,30,100
1,1,4,4,10,10,0,0,1.0,2.0,30,100
1,2,1,5,10,10,0,0,1.0,2.0,30,100
1,2,2,6,10,10,0,0,1.0,2.0,30,100
1,2,3,7,10,10,0,0,1.0,2.0,30,100
1,2,4,8,10,10,0,0,1.0,2.0,30,100
1,3,1,9,10,10,0,0,1.0,2.0,30,100
1,3,2,10,10,10,0,0,1.0,2.0,30,100
1,3,3,11,10,10,0,0,1.0,2.0,30,100
1,3,4,12,10,10,0,0,1.0,2.0,30,100
1,4,1,13,10,10,0,0,1.0,2.0,30,100
1,4,2,14,10,10,0,0,1.0,2.0,30,100
1,4,3,15,10,10,0,0,1.0,2.0,30,100
1,4,4,16,10,10,0,0,1.0,2.0,30,100
1,5,1,17,10,10,0,0,1.0,2.0,30,100
1,5,2,18,10,10,0,0,1.0,2.0,30,100
1,5,3,19,10,10,0,0,1.0,2.0,30,100
1,5,4,20,10,10,0,0,1.0,2.0,30,100
1,6,1,21,10,10,0,0,1.0,2.0,30,100
1,6,2,22,10,10,0,0,1.0,2.0,30,100
1,6,3,23,10,10,0,0,1.0,2.0,30,100
1,6,4,24,10,10,0,0,1.0,2.0,30,100
2,1,1,1,10,0,10,0,2.0,2.75,50,200
2,1,2,2,10,0,10,0,2.0,2.75,50,200
2,1,3,3,10,0,10,0,2.0,2.75,50,200
2,1,4,4,10,0,10,0,2.0,2.75,50,200
2,2,1,5,10,0,10,0,2.0,2.75,50,200
2,2,2,6,10,0,10,0,2.0,2.75,50,200
2,2,3,7,10,0,10,0,2.0,2.75,50,200
2,2,4,8,10,0,10,0,2.0,2.75,50,200
2,3,1,9,10,0,10,0,2.0,2.75,50,200
2,3,2,10,10,0,10,0,2.0,2.75,50,200
2,3,3,11,10,0,10,0,2.0,2.75,50,200
2,3,4,12,10,0,10,0,2.0,2.75,50,200
2,4,1,13,10,0,10,0,2.0,2.75,50,200
2,4,2,14,10,0,10,0,2.0,2.75,50,200
2,4,3,15,10,0,10,0,2.0,2.75,50,200
2,4,4,16,10,0,10,0,2.0,2.75,50,200
2,5,1,17,10,0,10,0,2.0,2.75,50,200
2,5,2,18,10,0,10,0,2.0,2.75,50,200
2,5,3,19,10,0,10,0,2.0,2.75,50,200
2,5,4,20,10,0,10,0,2.0,2.75,50,200
2,6,1,21,10,0,10,0,2.0,2.75,50,200
2,6,2,22,10,0,10,0,2.0,2.75,50,200
2,6,3,23,10,0,10,0,2.0,2.75,50,200
2,6,4,24,10,0,10,0,2.0,2.75,50,200
3,1,1,1,10,0,0,10,3.0,3.5,80,300
3,1,2,2,10,0,0,10,3.0,3.5,80,300
3,1,3,3,10,0,0,10,3.0,3.5,80,300
3,1,4,4,10,0,0,10,3.0,3.5,80,300
3,2,1,5,10,0,0,10,3.0,3.5,80,300
3,2,2,6,10,0,0,10,3.0,3.5,80,300
3,2,3,7,10,0,0,10,3.0,3.5,80,300
3,2,4,8,10,0,0,10,3.0,3.5,80,300
3,3,1,9,10,0,0,10,3.0,3.5,80,300
3,3,2,10,10,0,0,10,3.0,3.5,80,300
3,3,3,11,10,0,0,10,3.0,3.5,80,300
3,3,4,12,10,0,0,10,3.0,3.5,80,300
3,4,1,13,10,0,0,10,3.0,3.5,80,300
3,4,2,14,10,0,0,10,3.0,3.5,80,300
3,4,3,15,10,0,0,10,3.0,3.5,80,300
3,4,4,16,10,0,0,10,3.0,3.5,80,300
3,5,1,17,10,0,0,10,3.0,3.5,80,300
3,5,2,18,10,0,0,10,3.0,3.5,80,300
3,5,3,19,10,0,0,10,3.0,3.5,80,300
3,5,4,20,10,0,10,0,2.0,2.75,50,200
3,6,1,21,10,0,10,0,2.0,2.75,50,200
3,6,2,22,10,0,10,0,2.0,2.75,50,200
3,6,3,23,10,0,10,0,2.0,2.75,50,200
3,6,4,24,10,0,10,0,2.0,2.75,50,200
