样本ID,P0,可行强度集,月级对照方案_P6,周级主方案_P6,ΔP6(月级-周级),月级对照方案总成本,周级主方案总成本,Δ成本(周级-月级),月级对照方案总时长(min),周级主方案总时长(min),Δ时长(周级-月级),周级主方案存在月内混合
1,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
2,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
3,59.0,"1,2,3",24.989357,24.917548,0.071808,1998,2000,2,6680,6700,20,1
4,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
5,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
9,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
11,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
12,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
15,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
29,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
30,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
35,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
36,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
40,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
46,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
49,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
51,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
52,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
53,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
55,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
59,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
62,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
68,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
82,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
85,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
87,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
88,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
92,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
96,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
97,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
98,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
100,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
101,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
104,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
106,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
112,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
114,57.0,"1,2,3",23.864763,23.744098,0.120665,1980,1998,18,6800,6860,60,1
116,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
123,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
126,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
128,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
134,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
137,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
