指标,均值_确诊组,均值_未确诊组,正态性p_确诊组,正态性p_未确诊组,组间检验,组间统计量,组间p值,效应量_Cohen_d,与痰湿Pearson_r,Pearson_p值,与痰湿Spearman_r,Spearman_p值,原始AUC,预警AUC增益,互信息,风险方向,组间FDR,Pearson_FDR,Spearman_FDR,|Pearson_r|,|Spearman_r|,|Cohen_d|,相关性显著度,组间显著度,Borda_痰湿解释,Borda_预警能力,Bootstrap平均名次,Top5入选频率,稳定性得分,综合得分,分层结论
血尿酸,349.4893,293.1691,0.0,0.0,Mann-Whitney U,105965.0,1.0762796974903518e-10,0.4035363584460094,-0.0030793016068735024,0.9225242826507881,-0.009622006575595235,0.761203287671917,0.6455336854481544,0.14553368544815437,0.17236907955798486,病例组更高,6.09891828577866e-10,0.9801820503164623,0.9243182778873278,0.0030793016068735024,0.009622006575595235,0.4035363584460094,0.03417845894267161,9.214035684046705,4.666666666666667,13.0,3.158333333333333,0.8583333333333333,1.0,0.7058823529411764,辅助预警候选
ADL洗澡,4.9874,4.6812,0.0,0.0,Mann-Whitney U,86632.0,0.21630513883839164,0.09691218562032078,0.023490952059243918,0.45807374892076985,0.026873572108708086,0.39593282218865267,0.5277579789340303,0.027757978934030314,0.002926626789922837,病例组更高,0.525312480036094,0.9675040231456741,0.9243182778873278,0.023490952059243918,0.026873572108708086,0.09691218562032078,0.03417845894267161,0.279582281384478,9.666666666666666,11.0,6.779166666666667,0.4,0.30379746835443044,0.6703851621200839,统计边缘候选
空腹血糖,4.9606,5.0665,0.324323,0.827968,Welch t,-1.381989,0.16790503164373152,-0.10545330480768911,-0.017540851436570012,0.5795519579320249,-0.02045921551122343,0.5181267526902146,0.47149880293144725,0.028501197068552697,0.0,病例组更低,0.4757309229905726,0.9675040231456741,0.9243182778873278,0.017540851436570012,0.02045921551122343,0.10545330480768911,0.03417845894267161,0.32263861808162675,7.333333333333333,12.0,6.6875,0.4,0.30379746835443044,0.6243958573072497,统计边缘候选
ADL吃饭,4.9067,4.9227,0.0,0.0,Mann-Whitney U,81836.0,0.9482850859289275,-0.005156765339480014,-0.07482364786157948,0.017957655452057512,-0.07878031979698581,0.012702227978246558,0.4985409775146055,0.0014590224853945344,0.014200803671229778,病例组更低,0.9928540946078127,0.3052801426849777,0.21593787563019148,0.07482364786157948,0.07878031979698581,0.005156765339480014,0.6656711754752043,0.0031145687876293245,13.0,3.3333333333333335,4.458333333333333,0.6666666666666666,0.7088607594936709,0.5902570003835826,统计边缘候选
IADL服药,4.9496,4.6957,0.0,0.0,Mann-Whitney U,85860.5,0.304342146770361,0.0802046895710638,-0.01293192773338414,0.6829440163381229,-0.011501960881670253,0.7163949556447398,0.5230580380259638,0.023058038025963845,0.020736222765055157,病例组更高,0.6467270618870171,0.9675040231456741,0.9243182778873278,0.01293192773338414,0.011501960881670253,0.0802046895710638,0.03417845894267161,0.18927896589262747,6.333333333333333,10.0,7.0375,0.39166666666666666,0.29113924050632917,0.513842821363298,统计边缘候选
ADL用厕,5.0479,5.087,0.0,0.0,Mann-Whitney U,81452.0,0.8657386297634065,-0.012133362609406461,-0.030224012126959736,0.3396839503702186,-0.03537398697704509,0.263748819967915,0.49620166797643633,0.003798332023563722,0.0,病例组更低,0.9928540946078127,0.9675040231456741,0.9243182778873278,0.030224012126959736,0.03537398697704509,0.012133362609406461,0.03417845894267161,0.0031145687876293245,10.666666666666666,4.0,7.366666666666666,0.35,0.22784810126582278,0.4359439518039667,统计边缘候选
BMI,21.9686,21.7816,0.018344,0.915829,Mann-Whitney U,85173.5,0.4025517494502765,0.06360518237694092,-0.005777169599586117,0.8552192535663437,-0.02202513215730273,0.4866110222310761,0.5188728670553332,0.018872867055333198,0.0,病例组更高,0.68433797406547,0.9801820503164623,0.9243182778873278,0.005777169599586117,0.02202513215730273,0.06360518237694092,0.03417845894267161,0.16472936023758564,6.666666666666667,8.166666666666666,7.654166666666667,0.275,0.11392405063291143,0.4234978226043007,统计边缘候选
IADL理财,5.0214,5.0725,0.0,0.0,Mann-Whitney U,81268.0,0.8266316974274355,-0.01643115988097889,0.021365236472919498,0.4997646464511204,0.024910269933367923,0.4313586914690699,0.4950807488227303,0.004919251177269768,0.0,病例组更低,0.9928540946078127,0.9675040231456741,0.9243182778873278,0.021365236472919498,0.024910269933367923,0.01643115988097889,0.03417845894267161,0.0031145687876293245,9.0,5.0,7.620833333333334,0.3333333333333333,0.20253164556962025,0.4084207676165978,统计边缘候选
IADL购物,5.0076,5.1159,0.0,0.0,Mann-Whitney U,80462.5,0.6616477556865739,-0.033736228576420876,0.017864258092590086,0.5725799788702781,0.01615482029549531,0.6098730858425799,0.4901736815493052,0.009826318450694815,0.0,病例组更低,0.9928540946078127,0.9675040231456741,0.9243182778873278,0.017864258092590086,0.01615482029549531,0.033736228576420876,0.03417845894267161,0.0031145687876293245,7.333333333333333,6.0,8.454166666666667,0.21666666666666667,0.02531645569620253,0.350517836593786,统计边缘候选
IADL交通,4.9067,4.9179,0.0,0.0,Mann-Whitney U,81898.0,0.9616900419689995,-0.003566375599426087,0.029026834336559136,0.35916660848009846,0.023453756454769988,0.4587861036041072,0.498918678533789,0.0010813214662109827,0.0,病例组更低,0.9928540946078127,0.9675040231456741,0.9243182778873278,0.029026834336559136,0.023453756454769988,0.003566375599426087,0.03417845894267161,0.0031145687876293245,9.333333333333334,2.6666666666666665,7.533333333333333,0.35,0.22784810126582278,0.3404002797897065,统计边缘候选
