模型,模型家族,特征数,特征口径,重复轮次,折次,AUC,PR_AUC,Brier分数,准确率,F1,精确率,召回率
Logistic回归,logistic,26,线性清洗口径,1,1,0.5589814388709925,0.8548769483247588,0.2533043327649744,0.585,0.6981818181818182,0.8275862068965517,0.6037735849056604
Logistic回归,logistic,26,线性清洗口径,1,2,0.5427212762693664,0.8568784055777549,0.257646099136975,0.555,0.6763636363636364,0.8017241379310345,0.5849056603773585
Logistic回归,logistic,26,线性清洗口径,1,3,0.6341463414634146,0.8897702202214188,0.24348337276357768,0.595,0.6966292134831461,0.8611111111111112,0.5849056603773585
Logistic回归,logistic,26,线性清洗口径,1,4,0.6662145871006631,0.8971208321680643,0.2302638895621339,0.65,0.7535211267605634,0.8492063492063492,0.6772151898734177
Logistic回归,logistic,26,线性清洗口径,1,5,0.5675105485232067,0.8588012379574637,0.25927357196878764,0.565,0.6789667896678967,0.8141592920353983,0.5822784810126582
Logistic回归,logistic,26,线性清洗口径,2,1,0.5618959963184538,0.8528357534682733,0.2506243378373131,0.565,0.6836363636363636,0.8103448275862069,0.5911949685534591
Logistic回归,logistic,26,线性清洗口径,2,2,0.6056143580303728,0.8604385436911653,0.24243287897272267,0.61,0.7214285714285714,0.8347107438016529,0.6352201257861635
Logistic回归,logistic,26,线性清洗口径,2,3,0.5879736155852124,0.8794692705798581,0.24561361171976248,0.575,0.6996466431095406,0.7983870967741935,0.6226415094339622
Logistic回归,logistic,26,线性清洗口径,2,4,0.5663050030138638,0.8569065566574088,0.25379139951408797,0.55,0.6564885496183206,0.8269230769230769,0.5443037974683544
Logistic回归,logistic,26,线性清洗口径,2,5,0.6217600964436408,0.8794684551211929,0.2522521235369396,0.59,0.6940298507462687,0.8454545454545455,0.5886075949367089
Logistic回归,logistic,26,线性清洗口径,3,1,0.5637367694431662,0.8634217105089533,0.26767210725604473,0.58,0.6888888888888889,0.8378378378378378,0.5849056603773585
Logistic回归,logistic,26,线性清洗口径,3,2,0.5143426905967173,0.8242863074856364,0.2567162457422923,0.56,0.6857142857142857,0.7933884297520661,0.6037735849056604
Logistic回归,logistic,26,线性清洗口径,3,3,0.6002454364166282,0.885624798850121,0.25960149388942755,0.615,0.717948717948718,0.8596491228070176,0.6163522012578616
Logistic回归,logistic,26,线性清洗口径,3,4,0.6422543701024713,0.8898726936123932,0.22901922120865584,0.6,0.7122302158273381,0.825,0.6265822784810127
Logistic回归,logistic,26,线性清洗口径,3,5,0.6277878239903556,0.8673619026449975,0.24143768715911057,0.625,0.7311827956989247,0.8429752066115702,0.6455696202531646
Logistic回归,logistic,26,线性清洗口径,4,1,0.5905813775118883,0.866798359354451,0.2470478014431311,0.595,0.7054545454545454,0.8362068965517241,0.610062893081761
Logistic回归,logistic,26,线性清洗口径,4,2,0.5911949685534591,0.8834702001777721,0.25958898066892766,0.575,0.6840148698884758,0.8363636363636363,0.5786163522012578
Logistic回归,logistic,26,线性清洗口径,4,3,0.6168123945390398,0.8896456721380889,0.24401118628397303,0.605,0.7148014440433214,0.8389830508474576,0.6226415094339622
Logistic回归,logistic,26,线性清洗口径,4,4,0.6098553345388789,0.8695503755222269,0.23878069362285742,0.625,0.734982332155477,0.832,0.6582278481012658
Logistic回归,logistic,26,线性清洗口径,4,5,0.6065400843881856,0.87327966511328,0.2399115552397565,0.56,0.6716417910447762,0.8181818181818182,0.569620253164557
Logistic回归,logistic,26,线性清洗口径,5,1,0.5473232090811474,0.8367934420805561,0.26498793569618445,0.555,0.6715867158671587,0.8125,0.5723270440251572
Logistic回归,logistic,26,线性清洗口径,5,2,0.610062893081761,0.8890699237464774,0.243729445034317,0.58,0.6956521739130435,0.8205128205128205,0.6037735849056604
Logistic回归,logistic,26,线性清洗口径,5,3,0.5980978677711305,0.8815351086614032,0.23748342300901507,0.605,0.7228070175438597,0.8174603174603174,0.6477987421383647
Logistic回归,logistic,26,线性清洗口径,5,4,0.589511754068716,0.8743426215828183,0.25870980501911445,0.585,0.6891385767790262,0.8440366972477065,0.5822784810126582
Logistic回归,logistic,26,线性清洗口径,5,5,0.6282399035563592,0.8763256505323178,0.23565500159177633,0.605,0.7063197026022305,0.8558558558558559,0.6012658227848101
随机森林,rf,27,树模型清洗口径,1,1,0.8130081300813009,0.9482297614094911,0.17108207468251915,0.715,0.7942238267148014,0.9322033898305084,0.6918238993710691
随机森林,rf,27,树模型清洗口径,1,2,0.8215984046632919,0.95508544339387,0.15703433585262003,0.745,0.8271186440677966,0.8970588235294118,0.7672955974842768
随机森林,rf,27,树模型清洗口径,1,3,0.799202331645958,0.946519614715574,0.15959927922038983,0.725,0.8160535117056856,0.8714285714285714,0.7672955974842768
随机森林,rf,27,树模型清洗口径,1,4,0.8746232670283303,0.9673993691912045,0.13731123436165332,0.815,0.8794788273615635,0.9060402684563759,0.8544303797468354
随机森林,rf,27,树模型清洗口径,1,5,0.7937010247136829,0.9454460785306001,0.16018030033086297,0.72,0.8108108108108109,0.8695652173913043,0.759493670886076
随机森林,rf,27,树模型清洗口径,2,1,0.8361711919005983,0.9566877744883937,0.1473288788977496,0.78,0.8533333333333334,0.9078014184397163,0.8050314465408805
随机森林,rf,27,树模型清洗口径,2,2,0.8142353121644424,0.9515305750843213,0.1546752738526444,0.72,0.8108108108108109,0.8759124087591241,0.7547169811320755
随机森林,rf,27,树模型清洗口径,2,3,0.7745052922227336,0.9356126982392445,0.1700268410292569,0.74,0.8231292517006803,0.8962962962962963,0.7610062893081762
随机森林,rf,27,树模型清洗口径,2,4,0.8337854128993368,0.9550445104248899,0.15454900127014318,0.75,0.8299319727891157,0.8970588235294118,0.7721518987341772
随机森林,rf,27,树模型清洗口径,2,5,0.8604581072935503,0.9637288850232613,0.14889786950292191,0.795,0.8610169491525423,0.927007299270073,0.8037974683544303
随机森林,rf,27,树模型清洗口径,3,1,0.7834023623255101,0.9402899699650071,0.17226242499992434,0.715,0.8,0.9047619047619048,0.7169811320754716
随机森林,rf,27,树模型清洗口径,3,2,0.8315692590888173,0.9553807056493604,0.15186153317642806,0.76,0.8441558441558441,0.87248322147651,0.8176100628930818
随机森林,rf,27,树模型清洗口径,3,3,0.8795827580917319,0.9692498215657019,0.1494629967588085,0.805,0.865979381443299,0.9545454545454546,0.7924528301886793
随机森林,rf,27,树模型清洗口径,3,4,0.8267028330319469,0.9539118866992756,0.14910978272896075,0.735,0.8178694158075601,0.8947368421052632,0.7531645569620253
随机森林,rf,27,树模型清洗口径,3,5,0.8497588908981314,0.960464073069208,0.14870499865173956,0.795,0.8646864686468647,0.903448275862069,0.8291139240506329
随机森林,rf,27,树模型清洗口径,4,1,0.8423071023163063,0.9586749079897796,0.158411835245568,0.765,0.8384879725085911,0.9242424242424242,0.7672955974842768
随机森林,rf,27,树模型清洗口径,4,2,0.8283479061205706,0.9570921464376528,0.1662025029588898,0.75,0.8263888888888888,0.9224806201550387,0.7484276729559748
随机森林,rf,27,树模型清洗口径,4,3,0.8550391164289002,0.9602318252577441,0.15527275292434872,0.75,0.8275862068965517,0.916030534351145,0.7547169811320755
随机森林,rf,27,树模型清洗口径,4,4,0.8468957203134418,0.9597205846511087,0.14480813807905657,0.785,0.86084142394822,0.8807947019867549,0.8417721518987342
