特征,分位组,样本数,特征均值,p_early均值,确诊率
血尿酸,"(187.0, 310.0]",197,247.71573604060913,0.4984433490382774,0.5025380710659898
血尿酸,"(310.0, 403.0]",200,359.64,0.6145016640651293,0.615
血尿酸,"(403.0, 473.0]",201,441.16915422885575,0.9135843445480164,0.9203980099502488
血尿酸,"(473.0, 577.0]",198,515.6818181818181,0.9901226146943575,1.0
血尿酸,"(54.999, 187.0]",204,129.0343137254902,0.9071101872373901,0.9215686274509803
BMI,"(10.292, 19.588]",200,17.816558,0.7592014513141565,0.765
BMI,"(19.588, 21.258]",200,20.4590945,0.7962990441892878,0.795
BMI,"(21.258, 22.705]",200,21.943355,0.7808357138381697,0.77
BMI,"(22.705, 24.249]",200,23.4180685,0.8066731171181885,0.85
BMI,"(24.249, 31.301]",200,26.012255500000002,0.7860850822083383,0.785
空腹血糖,"(1.923, 4.109]",200,3.5552775000000003,0.8100693749004211,0.835
空腹血糖,"(4.109, 4.736]",200,4.440738,0.7915126797260887,0.79
空腹血糖,"(4.736, 5.241]",200,5.007037,0.776111905073094,0.785
空腹血糖,"(5.241, 5.87]",200,5.53831,0.7695745696911392,0.755
空腹血糖,"(5.87, 8.095]",200,6.371125500000001,0.7818258792773978,0.8
ADL洗澡,"(-0.001, 2.0]",288,1.0451388888888888,0.77774851745601,0.78125
ADL洗澡,"(2.0, 4.0]",177,3.5028248587570623,0.7890368075755897,0.8022598870056498
ADL洗澡,"(4.0, 6.0]",177,5.468926553672317,0.7736387546923522,0.7627118644067796
ADL洗澡,"(6.0, 8.0]",178,7.477528089887641,0.7957199706654563,0.8033707865168539
ADL洗澡,"(8.0, 10.0]",180,9.466666666666667,0.7977532189245574,0.8222222222222222
