signature,规则,出现次数,出现频率,平均支持样本数,平均高风险纯度,平均确诊率
p_early:gt | 血脂异常项数:gt,p_early > 0.8881 且 血脂异常项数 > 1.5000,83,0.83,79.07228915662651,0.9971331537814617,1.0
TG（甘油三酯）:gt | p_early:gt | 血脂异常项数:le,TG（甘油三酯） > 2.4157 且 p_early > 0.8881 且 血脂异常项数 <= 1.5000,59,0.59,22.0,0.9595611912615251,0.9996676636756399
TG（甘油三酯）:gt | p_early:le,TG（甘油三酯） > 3.0476 且 p_early <= 0.8871,46,0.46,17.17391304347826,0.8154539109518509,1.0
p_early:between | 血脂异常项数:gt,0.6689 < p_early <= 0.8759 且 血脂异常项数 > 1.5000,12,0.12,11.25,0.7884577471748524,1.0
p_early:gt | 血脂异常项数:le,p_early > 0.9785 且 血脂异常项数 <= 1.5000,12,0.12,55.416666666666664,0.7081481948253862,1.0
p_early:gt | 活动量表总分（ADL总分+IADL总分）:le | 血脂异常项数:le,p_early > 0.8920 且 活动量表总分（ADL总分+IADL总分） <= 60.0000 且 血脂异常项数 <= 1.5000,11,0.11,49.45454545454545,0.7428984691275179,0.9700531870890576
HDL-C（高密度脂蛋白）:le | p_early:gt | 血脂异常项数:gt,HDL-C（高密度脂蛋白） <= 1.5612 且 p_early > 0.6841 且 血脂异常项数 > 1.5000,8,0.08,77.125,0.9870077933630773,1.0
BMI:gt | p_early:gt | 血脂异常项数:le,BMI > 23.8311 且 p_early > 0.9081 且 血脂异常项数 <= 1.5000,8,0.08,15.25,0.9386904761904762,0.9955357142857143
HDL-C（高密度脂蛋白）:gt | p_early:gt | 血脂异常项数:gt,HDL-C（高密度脂蛋白） > 1.5612 且 p_early > 0.6841 且 血脂异常项数 > 1.5000,8,0.08,12.75,0.8815117249899859,1.0
TG（甘油三酯）:gt | p_early:le | 血脂异常项数:gt,TG（甘油三酯） > 2.6000 且 p_early <= 0.8249 且 血脂异常项数 > 1.5000,8,0.08,18.0,0.8546577841662981,1.0
p_early:le | 血脂异常项数:gt,p_early <= 0.7008 且 血脂异常项数 > 1.5000,7,0.07,18.0,0.7377736997302213,1.0
TG（甘油三酯）:le | p_early:gt | 血脂异常项数:gt,TG（甘油三酯） <= 1.3565 且 p_early > 0.6832 且 血脂异常项数 > 1.5000,6,0.06,21.666666666666668,0.9055594460006224,1.0
BMI:gt | p_early:le | 血脂异常项数:gt,BMI > 22.7441 且 p_early <= 0.8907 且 血脂异常项数 > 1.5000,6,0.06,17.666666666666668,0.8079858737753475,1.0
p_early:le | 血尿酸:le | 血脂异常项数:gt,p_early <= 0.8860 且 血尿酸 <= 290.0000 且 血脂异常项数 > 1.5000,5,0.05,18.2,0.7963725490196077,1.0
TG（甘油三酯）:le | p_early:gt | 血脂异常项数:le,TG（甘油三酯） <= 2.5529 且 p_early > 0.8860 且 血脂异常项数 <= 1.5000,5,0.05,47.2,0.5380991931656383,0.9575344091124822
TG（甘油三酯）:gt | p_early:gt | 血脂异常项数:gt,TG（甘油三酯） > 1.2679 且 p_early > 0.6832 且 血脂异常项数 > 1.5000,4,0.04,71.0,1.0,1.0
