场景,扰动分量,权重因子,T_low,T_high,低风险患病率,中风险患病率,高风险患病率,是否单调,权重配置
基准权重,无,1.0,19.4248,49.4606,0.0,0.8509615384615384,1.0,是,lipid_burden=0.320；lipid_excess=0.220；early_risk=0.190；metabolic_modifier=0.120；function_modifier=0.150
lipid_burden+20%,lipid_burden,1.2,20.1856,49.6577,0.0,0.9088729016786571,1.0,是,lipid_burden=0.361；lipid_excess=0.207；early_risk=0.179；metabolic_modifier=0.113；function_modifier=0.141
lipid_burden-20%,lipid_burden,0.8,18.8109,49.7271,0.0,0.8027210884353742,1.0,是,lipid_burden=0.274；lipid_excess=0.235；early_risk=0.203；metabolic_modifier=0.128；function_modifier=0.160
lipid_excess+20%,lipid_excess,1.2,18.6061,48.1754,0.0,0.8509615384615384,1.0,是,lipid_burden=0.307；lipid_excess=0.253；early_risk=0.182；metabolic_modifier=0.115；function_modifier=0.144
lipid_excess-20%,lipid_excess,0.8,20.3188,50.7288,0.0,0.8509615384615384,1.0,是,lipid_burden=0.335；lipid_excess=0.184；early_risk=0.199；metabolic_modifier=0.126；function_modifier=0.157
early_risk+20%,early_risk,1.2,20.1139,50.8768,0.0,0.8509615384615384,1.0,是,lipid_burden=0.308；lipid_excess=0.212；early_risk=0.220；metabolic_modifier=0.116；function_modifier=0.145
early_risk-20%,early_risk,0.8,18.7525,47.9288,0.0,0.8509615384615384,1.0,是,lipid_burden=0.333；lipid_excess=0.229；early_risk=0.158；metabolic_modifier=0.125；function_modifier=0.156
metabolic_modifier+20%,metabolic_modifier,1.2,21.7284,50.2396,0.005917159763313609,0.9064748201438849,1.0,是,lipid_burden=0.312；lipid_excess=0.215；early_risk=0.186；metabolic_modifier=0.141；function_modifier=0.146
metabolic_modifier-20%,metabolic_modifier,0.8,19.3584,49.2445,0.0,0.8509615384615384,1.0,是,lipid_burden=0.328；lipid_excess=0.225；early_risk=0.195；metabolic_modifier=0.098；function_modifier=0.154
function_modifier+20%,function_modifier,1.2,22.6839,50.2082,0.005917159763313609,0.9064748201438849,1.0,是,lipid_burden=0.311；lipid_excess=0.214；early_risk=0.184；metabolic_modifier=0.117；function_modifier=0.175
function_modifier-20%,function_modifier,0.8,18.0022,49.3408,0.0,0.8509615384615384,1.0,是,lipid_burden=0.330；lipid_excess=0.227；early_risk=0.196；metabolic_modifier=0.124；function_modifier=0.124
