分析组,预算上限,患者数,平均最终积分,平均积分下降率(%),平均总成本,平均预算利用率(%),切换患者占比
总体,1200,278,41.36,30.9571,1122.036,93.5038,0.6691
最大强度=1,1200,92,44.1529,26.49,971.1957,80.934,0.0
最大强度=2,1200,171,40.0072,33.1481,1196.5263,99.7112,1.0
最大强度=3,1200,15,39.652,33.378,1198.0,99.834,1.0
总体,1400,278,39.3805,34.2621,1249.3309,89.2394,0.4137
最大强度=1,1400,92,44.1529,26.49,971.1957,69.3734,0.0
最大强度=2,1400,171,37.0496,38.084,1386.7485,99.0547,0.6257
最大强度=3,1400,15,36.6807,38.3607,1388.6667,99.1907,0.5333
总体,1600,278,38.7721,35.2449,1288.8993,80.5568,0.054
最大强度=1,1600,92,44.1529,26.49,971.1957,60.6997,0.0
最大强度=2,1600,171,36.2494,39.3658,1432.924,89.5587,0.0
最大强度=3,1600,15,34.5273,41.9633,1595.6,99.726,1.0
总体,1800,278,38.6748,35.4088,1299.7194,72.2062,0.054
最大强度=1,1800,92,44.1529,26.49,971.1957,53.9549,0.0
最大强度=2,1800,171,36.2494,39.3658,1432.924,79.6063,0.0
最大强度=3,1800,15,32.7253,45.0,1796.1333,99.7853,1.0
总体,2000,278,38.5797,35.5687,1310.1942,65.5097,0.054
最大强度=1,2000,92,44.1529,26.49,971.1957,48.5598,0.0
最大强度=2,2000,171,36.2494,39.3658,1432.924,71.6462,0.0
最大强度=3,2000,15,30.9627,47.9633,1990.2667,99.5133,1.0
