最大可选活动强度,月份,样本数,最常见活动强度,最常见训练频率,最常见动作,支持样本数,支持率,平均月初痰湿积分,平均月末痰湿积分,平均月总成本
1,1,92,1,10,L1-F10,92,1.0,60.0652,57.062,202.1739
1,2,92,1,10,L1-F10,92,1.0,57.062,54.2084,168.4783
1,3,92,1,10,L1-F10,92,1.0,54.2084,51.498,150.5435
1,4,92,1,10,L1-F10,92,1.0,51.498,48.923,150.0
1,5,92,1,10,L1-F10,92,1.0,48.923,46.4776,150.0
1,6,92,1,10,L1-F10,92,1.0,46.4776,44.1529,150.0
2,1,171,2,10,L2-F10,171,1.0,59.7836,55.0009,276.4912
2,2,171,2,10,L2-F10,171,1.0,55.0009,50.6005,236.4327
2,3,171,2,10,L2-F10,171,1.0,50.6005,46.552,230.0
2,4,171,2,10,L2-F10,171,1.0,46.552,42.8274,230.0
2,5,171,2,10,L2-F10,171,1.0,42.8274,39.4009,230.0
2,6,171,2,10,L2-F10,171,1.0,39.4009,36.2494,230.0
3,1,15,3,10,L3-F10,10,0.6667,59.4667,53.4153,359.2
3,2,15,3,10,L3-F10,15,1.0,53.4153,47.538,350.0
3,3,15,3,10,L3-F10,11,0.7333,47.538,42.6773,318.0
3,4,15,3,10,L3-F10,14,0.9333,42.6773,38.0107,347.8667
3,5,15,3,10,L3-F10,14,0.9333,38.0107,33.852,347.8667
3,6,15,3,10,L3-F10,8,0.5333,33.852,30.9627,267.3333
